sourceTask,destinationTask,value
CoLA,Baseline,4.7
CoLA,SQuAD-1,3.3
CoLA,SQuAD-2,2.9
CoLA,NewsQA,1.8
CoLA,HotpotQA,1.9
CoLA,BoolQ,7.7
CoLA,DROP,6.0
CoLA,WikiHop,0.3
CoLA,DuoRC-p,0.9
CoLA,DuoRC-s,3.2
CoLA,CQ,5.6
CoLA,ComQA,1.2
SST-2,Baseline,77.5
SST-2,SQuAD-1,83.3
SST-2,SQuAD-2,83.8
SST-2,NewsQA,81.4
SST-2,HotpotQA,72.4
SST-2,BoolQ,76.5
SST-2,DROP,81.8
SST-2,WikiHop,69.9
SST-2,DuoRC-p,74.1
SST-2,DuoRC-s,78.5
SST-2,CQ,74.7
SST-2,ComQA,72.1
MRPC,Baseline,81.9
MRPC,SQuAD-1,83.4
MRPC,SQuAD-2,82.1
MRPC,NewsQA,83.6
MRPC,HotpotQA,83.8
MRPC,BoolQ,81.7
MRPC,DROP,82.4
MRPC,WikiHop,82.3
MRPC,DuoRC-p,83.2
MRPC,DuoRC-s,83.5
MRPC,CQ,81.8
MRPC,ComQA,81.7
STS-B,Baseline,29.9
STS-B,SQuAD-1,72.1
STS-B,SQuAD-2,65.0
STS-B,NewsQA,67.1
STS-B,HotpotQA,49.7
STS-B,BoolQ,49.4
STS-B,DROP,64.5
STS-B,WikiHop,63.1
STS-B,DuoRC-p,71.0
STS-B,DuoRC-s,66.7
STS-B,CQ,61.6
STS-B,ComQA,51.5
QQP,Baseline,25.7
QQP,SQuAD-1,47.8
QQP,SQuAD-2,42.1
QQP,NewsQA,52.2
QQP,HotpotQA,34.1
QQP,BoolQ,46.0
QQP,DROP,49.7
QQP,WikiHop,57.5
QQP,DuoRC-p,41.3
QQP,DuoRC-s,44.5
QQP,CQ,42.6
QQP,ComQA,58.3
MNLI,Baseline,38.7
MNLI,SQuAD-1,49.4
MNLI,SQuAD-2,52.0
MNLI,NewsQA,48.5
MNLI,HotpotQA,41.9
MNLI,BoolQ,42.0
MNLI,DROP,45.6
MNLI,WikiHop,44.5
MNLI,DuoRC-p,44.1
MNLI,DuoRC-s,45.7
MNLI,CQ,44.8
MNLI,ComQA,41.4
QNLI,Baseline,62.4
QNLI,SQuAD-1,86.9
QNLI,SQuAD-2,83.6
QNLI,NewsQA,79.2
QNLI,HotpotQA,73.8
QNLI,BoolQ,72.3
QNLI,DROP,78.9
QNLI,WikiHop,71.9
QNLI,DuoRC-p,79.3
QNLI,DuoRC-s,82.5
QNLI,CQ,71.8
QNLI,ComQA,68.1
RTE,Baseline,54.7
RTE,SQuAD-1,63.1
RTE,SQuAD-2,61.6
RTE,NewsQA,63.5
RTE,HotpotQA,58.7
RTE,BoolQ,57.6
RTE,DROP,63.6
RTE,WikiHop,62.1
RTE,DuoRC-p,60.3
RTE,DuoRC-s,61.1
RTE,CQ,61.3
RTE,ComQA,59.0
WNLI,Baseline,44.4
WNLI,SQuAD-1,41.7
WNLI,SQuAD-2,44.4
WNLI,NewsQA,43.5
WNLI,HotpotQA,45.3
WNLI,BoolQ,39.9
WNLI,DROP,43.5
WNLI,WikiHop,41.5
WNLI,DuoRC-p,45.4
WNLI,DuoRC-s,42.9
WNLI,CQ,39.6
WNLI,ComQA,39.6
SNLI,Baseline,46.7
SNLI,SQuAD-1,53.8
SNLI,SQuAD-2,55.3
SNLI,NewsQA,54.3
SNLI,HotpotQA,51.6
SNLI,BoolQ,47.8
SNLI,DROP,52.7
SNLI,WikiHop,53.2
SNLI,DuoRC-p,52.0
SNLI,DuoRC-s,52.9
SNLI,CQ,53.5
SNLI,ComQA,51.9
SciTail,Baseline,64.1
SciTail,SQuAD-1,86.6
SciTail,SQuAD-2,67.9
SciTail,NewsQA,83.0
SciTail,HotpotQA,74.4
SciTail,BoolQ,72.4
SciTail,DROP,82.0
SciTail,WikiHop,83.0
SciTail,DuoRC-p,69.7
SciTail,DuoRC-s,72.6
SciTail,CQ,78.2
SciTail,ComQA,80.9
