sourceTask,destinationTask,value
SQuAD-1,Baseline,26.8
SQuAD-1,CCG,12.3
SQuAD-1,POS-PTB,12.4
SQuAD-1,POS-EWT,12.1
SQuAD-1,Parent,14.5
SQuAD-1,GParent,21.1
SQuAD-1,GGParent,31.3
SQuAD-1,ST,12.1
SQuAD-1,Chunk,14.8
SQuAD-1,NER,26.4
SQuAD-1,GED,22.3
SQuAD-1,Conj,28.7
SQuAD-2,Baseline,50.1
SQuAD-2,CCG,50.1
SQuAD-2,POS-PTB,50.1
SQuAD-2,POS-EWT,50.1
SQuAD-2,Parent,50.1
SQuAD-2,GParent,50.1
SQuAD-2,GGParent,49.6
SQuAD-2,ST,50.1
SQuAD-2,Chunk,50.1
SQuAD-2,NER,50.1
SQuAD-2,GED,50.1
SQuAD-2,Conj,50.0
NewsQA,Baseline,28.8
NewsQA,CCG,15.0
NewsQA,POS-PTB,19.0
NewsQA,POS-EWT,20.3
NewsQA,Parent,21.4
NewsQA,GParent,23.4
NewsQA,GGParent,25.5
NewsQA,ST,15.0
NewsQA,Chunk,24.2
NewsQA,NER,24.8
NewsQA,GED,28.9
NewsQA,Conj,26.3
HotpotQA,Baseline,23.3
HotpotQA,CCG,12.5
HotpotQA,POS-PTB,16.2
HotpotQA,POS-EWT,18.2
HotpotQA,Parent,17.6
HotpotQA,GParent,19.6
HotpotQA,GGParent,23.2
HotpotQA,ST,14.7
HotpotQA,Chunk,18.4
HotpotQA,NER,19.2
HotpotQA,GED,23.1
HotpotQA,Conj,23.6
BoolQ,Baseline,62.2
BoolQ,CCG,62.2
BoolQ,POS-PTB,62.2
BoolQ,POS-EWT,62.2
BoolQ,Parent,62.2
BoolQ,GParent,62.2
BoolQ,GGParent,62.2
BoolQ,ST,62.2
BoolQ,Chunk,62.2
BoolQ,NER,62.2
BoolQ,GED,62.2
BoolQ,Conj,62.2
DROP,Baseline,19.4
DROP,CCG,61.0
DROP,POS-PTB,59.9
DROP,POS-EWT,53.8
DROP,Parent,56.9
DROP,GParent,54.6
DROP,GGParent,36.9
DROP,ST,58.2
DROP,Chunk,45.9
DROP,NER,39.9
DROP,GED,23.1
DROP,Conj,20.9
WikiHop,Baseline,25.5
WikiHop,CCG,24.7
WikiHop,POS-PTB,22.1
WikiHop,POS-EWT,23.4
WikiHop,Parent,21.3
WikiHop,GParent,21.6
WikiHop,GGParent,25.3
WikiHop,ST,19.3
WikiHop,Chunk,19.7
WikiHop,NER,23.6
WikiHop,GED,23.6
WikiHop,Conj,25.7
DuoRC-p,Baseline,41.6
DuoRC-p,CCG,40.5
DuoRC-p,POS-PTB,39.0
DuoRC-p,POS-EWT,39.7
DuoRC-p,Parent,38.8
DuoRC-p,GParent,38.9
DuoRC-p,GGParent,40.2
DuoRC-p,ST,39.8
DuoRC-p,Chunk,39.4
DuoRC-p,NER,39.9
DuoRC-p,GED,41.1
DuoRC-p,Conj,41.6
DuoRC-s,Baseline,38.9
DuoRC-s,CCG,8.0
DuoRC-s,POS-PTB,23.4
DuoRC-s,POS-EWT,21.7
DuoRC-s,Parent,25.0
DuoRC-s,GParent,32.0
DuoRC-s,GGParent,35.7
DuoRC-s,ST,12.1
DuoRC-s,Chunk,33.3
DuoRC-s,NER,32.1
DuoRC-s,GED,38.9
DuoRC-s,Conj,37.7
CQ,Baseline,30.7
CQ,CCG,30.7
CQ,POS-PTB,30.0
CQ,POS-EWT,31.4
CQ,Parent,32.2
CQ,GParent,32.9
CQ,GGParent,31.8
CQ,ST,30.1
CQ,Chunk,30.5
CQ,NER,31.2
CQ,GED,31.4
CQ,Conj,32.5
ComQA,Baseline,39.1
ComQA,CCG,38.4
ComQA,POS-PTB,38.3
ComQA,POS-EWT,38.2
ComQA,Parent,38.3
ComQA,GParent,38.9
ComQA,GGParent,39.0
ComQA,ST,38.0
ComQA,Chunk,38.5
ComQA,NER,38.4
ComQA,GED,39.1
ComQA,Conj,38.7
