__label__2	"""qt @user in the original draft of the 7th book, remus lupin survived the battle of hogwarts. happybirthdayremuslupin"""
__label__1	"""ben smith / smith (concussion) remains out of the lineup thursday, curtis nhl sj"""
__label__1	sorry bout the stream last night i crashed out but will be on tonight for sure. then back to minecraft in pc tomorrow night.
__label__1	chase headley's rbi double in the 8th inning off david price snapped a yankees streak of 33 consecutive scoreless innings against blue jays
__label__2	"@user alciato: bee will invest 150 million in january, another 200 in the summer and plans to bring messi by 2017"""
__label__2	@user lit my mum 'kerry the louboutins i wonder how many willam owns!!! look kerry warner wednesday!'
__label__2	"""\"""""""" soul train\"""""""" oct 27 halloween special ft t.dot finest rocking the mic...crazy cactus night club ..adv ticket $10 wt out costume $15..."""
__label__0	so disappointed in wwe summerslam! i want to see john cena wins his 16th title
__label__2	"""this is the last sunday w/o football .....,nfl is back baby"""
__label__1	@user @user cena & aj sitting in a tree k-i-s-s-i-n-g 1st goes aj's job then john's cred then goes vicki with the gm position.
__label__1	@user well said on hmw. can you now address why texans fans file out of the stadium midway through the 4th qtr of every game?
__label__1	just said hello to dennis kucinich as he walked casually through campus with his hotwife. he's on 22nd st!
__label__2	super excited for homecoming saturday with monroe! :d my new nephew is here but i can\u2019t see him :(
__label__0	that sucks if you have to take the sats tomorrow
__label__1	@user 6 tickets for sam smith concert sept 30 cheap! flew our family of 6 here fir the concert! beyond upset!
__label__1	"""fiorentina have reportedly opened talks with chelsea over taking the 20yr old kurt zuoma on loan in january."""
__label__2	creighton volleyball leads 8-5 early in 2nd set. match becomes even bigger with both wichita st. & missouri state down 0-1 at home tonight.
__label__2	this time tomorrow...we'll have the iron on. iron maiden pieces drops tomorrow nights.
__label__0	amy schumer sat down with the hollywood reporter and opened up about the sexist remarks and unnecessary criticism she's faced since
__label__1	what is jamie foxx doing sitting next to niall like you could've sat in a better spot just saying lol
__label__1	"@user @user 1st uneasyness was when he got v defensive about the charlie hebdo stuff, even tho he had pals patiently explaining"""
__label__2	reminder: samsung unveils the galaxy note 5 and s6 edge+ tomorrow morning! - - tech news...
__label__1	"""gonna do a movie marathon with my friend today and tomorrow. twilight, new moon, eclipse, bd1, the runaways, adventureland, (c)"""
__label__1	oscars well makes his debut over fences at punchestown tomorrow. it looks as though he\u2019ll have plan a and darwins fox to overcome.
__label__1	q2 10:30. philip rivers pass to eddie royal to the san diego 19 for 7 yards. 3rd & 1.
__label__1	"@user work colleague of mine on thursday night: """"oh, look, they're showing the bee gees on video."""" 23-yr old colleague: """"who?"""""""
__label__1	who's going to get them gucci foams tomorrow
__label__2	yes glass of red\u002c rammstein and day off tomorrow (thank you @user just what i needed.
__label__2	vampettes we are back on the 21st place keep tweeting with the hashtag mtvstars the vamps mtvstarsof2015
__label__1	ryan braun returned to the lineup on wednesday after missing two games with lower back tightness.
__label__1	""" ichiro has nothing. if you want to see hustle: kenny lofton, 17 october 1995, scores from second base on a past ball. gotribe alds"""
__label__2	looking forward to going to carrow rd tonight. last time we were there\u002c bale scored 2 and we were 3rd. do not want extra time though
__label__1	gonna go to the north game tomorrow night. i better see some of you north kiddos
__label__2	right guys\u002c last competition of the night... like this status for a chance to win a copy of judas priest\u2019s 30th...
__label__2	we\u2019re in the studio working on the new album and it sounds epic. we may as well pick up our brit award now\u002c tbh.
__label__1	"""last day of august, waiting for frank ocean to pull a beyonce."
__label__1	info --> grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * jadwal ke-1 besok !
__label__2	sunday (tomorrow) is national ice cream day and have we got a gift for you! join us for an ice cream sundae and...
__label__1	gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...
__label__1	still not over how nicki snapped like a 12th grader on their last day of high school
__label__2	i may or may not buy myself the illustrated version of harry potter for my birthday
__label__2	i wanna see studio footage so bad. we are about to hear some unreleased stuff! likeeeeeeeeee i can\u2019t wait until sunday.
__label__0	"@user how the hell does every one else get to keep their religious and 1st amnt rights, except christians!!! this is just wrong!!!"""
__label__2	a @user rule change should allow carly fiorina to earn a spot on the main stage for the 2nd republican debate.
__label__1	"""tfi friday doesn't look like it's coming back, as chris evans focuses on new-look top gear"
__label__1	np the way you make me feel - 2012 remaster by michael jackson from the album bad 25th anniversary.
__label__2	"""i'm going to see paper towns. saturday, 22 august 2015 at 17:40 in leigh cineworld"""
