epoch,layer,x,y,label
0,7,8.106248,9.954989,0
0,1,-21.421038,-14.0532255,0
0,8,11.843997,12.234017,1
0,9,2.7418785,-13.795338,0
0,3,-23.08151,23.274698,0
0,8,9.891559,7.7335553,0
0,7,14.053397,-5.177405,0
0,4,7.0300264,-15.360788,1
0,1,6.035337,0.19109564,0
0,12,-2.90527,16.595697,1
0,4,-7.149786,-0.29569945,1
0,7,12.314235,-15.049864,1
0,1,4.7707915,15.381664,0
0,5,-18.67094,2.2602143,1
0,1,6.876371,2.5591567,1
0,5,14.042128,-8.609026,0
0,4,-10.144768,-15.391383,0
0,4,6.583504,-3.6191597,0
0,4,2.8654737,-19.686945,0
0,11,23.310503,-7.3221884,1
0,1,-20.691689,2.1111398,0
0,6,2.688527,16.435436,0
0,11,14.310698,-0.9142677,1
0,12,14.056132,-22.74799,1
0,7,12.339137,11.942938,0
0,12,19.251228,13.907769,0
0,4,-11.950743,-8.249055,0
0,10,-0.061301284,-24.45533,0
0,5,1.1822839,-0.03360872,1
0,1,6.776915,5.923126,1
0,3,8.220539,-6.2596984,1
0,6,-21.205376,-20.506508,1
0,6,8.986814,8.013802,0
0,9,-22.35037,-25.84491,1
0,7,8.136732,22.852547,1
0,5,-14.735882,18.38088,1
0,8,5.351893,-8.156942,0
0,8,3.8033204,-1.8749957,1
0,11,-11.156454,-11.163633,1
0,3,-9.404317,12.274038,0
0,12,-6.874273,-9.363274,0
0,8,2.3927875,-2.2082732,0
0,5,-16.006294,5.375647,0
0,5,2.9898818,3.1223762,0
0,11,22.121855,-5.6952076,1
0,5,-4.7819433,5.1267715,0
0,3,5.024902,2.9358773,0
0,6,8.470676,-1.8566742,1
0,10,12.668364,-24.896896,0
0,2,-12.591624,3.6653798,0
0,3,4.372875,-4.2704444,0
0,8,1.680614,-11.204718,1
0,8,4.2343655,-12.329164,0
0,12,6.056376,10.73249,0
0,7,-14.81269,-8.751182,1
0,4,4.0822434,1.9474651,1
