sourceTask,destinationTask,value
SQuAD-1,Baseline,26.8
SQuAD-1,CoLA,26.2
SQuAD-1,SST-2,22.4
SQuAD-1,MRPC,23.4
SQuAD-1,STS-B,34.1
SQuAD-1,QQP,29.8
SQuAD-1,MNLI,36.6
SQuAD-1,QNLI,57.1
SQuAD-1,RTE,25.9
SQuAD-1,WNLI,25.8
SQuAD-1,SNLI,31.2
SQuAD-1,SciTail,29.9
SQuAD-2,Baseline,50.1
SQuAD-2,CoLA,50.0
SQuAD-2,SST-2,50.1
SQuAD-2,MRPC,50.1
SQuAD-2,STS-B,50.0
SQuAD-2,QQP,50.0
SQuAD-2,MNLI,50.1
SQuAD-2,QNLI,50.4
SQuAD-2,RTE,50.0
SQuAD-2,WNLI,50.0
SQuAD-2,SNLI,50.0
SQuAD-2,SciTail,50.1
NewsQA,Baseline,28.8
NewsQA,CoLA,30.4
NewsQA,SST-2,30.4
NewsQA,MRPC,25.7
NewsQA,STS-B,24.6
NewsQA,QQP,32.3
NewsQA,MNLI,35.6
NewsQA,QNLI,41.5
NewsQA,RTE,28.7
NewsQA,WNLI,30.1
NewsQA,SNLI,36.7
NewsQA,SciTail,28.7
HotpotQA,Baseline,23.3
HotpotQA,CoLA,24.2
HotpotQA,SST-2,25.5
HotpotQA,MRPC,21.2
HotpotQA,STS-B,23.3
HotpotQA,QQP,31.3
HotpotQA,MNLI,27.5
HotpotQA,QNLI,34.3
HotpotQA,RTE,21.8
HotpotQA,WNLI,23.7
HotpotQA,SNLI,24.9
HotpotQA,SciTail,22.4
BoolQ,Baseline,62.2
BoolQ,CoLA,62.2
BoolQ,SST-2,62.2
BoolQ,MRPC,62.2
BoolQ,STS-B,62.2
BoolQ,QQP,62.2
BoolQ,MNLI,62.2
BoolQ,QNLI,62.2
BoolQ,RTE,62.2
BoolQ,WNLI,62.2
BoolQ,SNLI,62.2
BoolQ,SciTail,62.2
DROP,Baseline,19.4
DROP,CoLA,20.5
DROP,SST-2,34.7
DROP,MRPC,12.0
DROP,STS-B,40.1
DROP,QQP,17.3
DROP,MNLI,15.2
DROP,QNLI,31.6
DROP,RTE,18.0
DROP,WNLI,16.0
DROP,SNLI,23.8
DROP,SciTail,35.2
WikiHop,Baseline,25.5
WikiHop,CoLA,27.3
WikiHop,SST-2,26.7
WikiHop,MRPC,23.9
WikiHop,STS-B,23.7
WikiHop,QQP,23.0
WikiHop,MNLI,26.8
WikiHop,QNLI,28.0
WikiHop,RTE,24.8
WikiHop,WNLI,26.2
WikiHop,SNLI,26.0
WikiHop,SciTail,23.1
DuoRC-p,Baseline,41.6
DuoRC-p,CoLA,42.2
DuoRC-p,SST-2,41.8
DuoRC-p,MRPC,39.7
DuoRC-p,STS-B,40.0
DuoRC-p,QQP,42.0
DuoRC-p,MNLI,42.7
DuoRC-p,QNLI,45.2
DuoRC-p,RTE,41.5
DuoRC-p,WNLI,41.9
DuoRC-p,SNLI,43.2
DuoRC-p,SciTail,41.1
DuoRC-s,Baseline,38.9
DuoRC-s,CoLA,41.5
DuoRC-s,SST-2,39.8
DuoRC-s,MRPC,35.0
DuoRC-s,STS-B,35.5
DuoRC-s,QQP,40.4
DuoRC-s,MNLI,40.5
DuoRC-s,QNLI,50.7
DuoRC-s,RTE,39.1
DuoRC-s,WNLI,39.2
DuoRC-s,SNLI,41.3
DuoRC-s,SciTail,40.4
CQ,Baseline,30.7
CQ,CoLA,31.2
CQ,SST-2,30.9
CQ,MRPC,31.8
CQ,STS-B,30.8
CQ,QQP,33.1
CQ,MNLI,32.7
CQ,QNLI,32.9
CQ,RTE,30.6
CQ,WNLI,31.2
CQ,SNLI,32.0
CQ,SciTail,31.7
ComQA,Baseline,39.1
ComQA,CoLA,39.2
ComQA,SST-2,38.7
ComQA,MRPC,38.6
ComQA,STS-B,38.2
ComQA,QQP,38.6
ComQA,MNLI,39.0
ComQA,QNLI,39.4
ComQA,RTE,38.9
ComQA,WNLI,38.8
ComQA,SNLI,39.3
ComQA,SciTail,38.7
