sourceTask,destinationTask,value
SQuAD-1,Baseline,26.8
SQuAD-1,CoLA,27.3
SQuAD-1,SST-2,26.5
SQuAD-1,MRPC,23.4
SQuAD-1,STS-B,26.3
SQuAD-1,QQP,19.0
SQuAD-1,MNLI,26.7
SQuAD-1,QNLI,30.8
SQuAD-1,RTE,26.4
SQuAD-1,WNLI,23.6
SQuAD-1,SNLI,23.6
SQuAD-1,SciTail,26.0
SQuAD-2,Baseline,50.1
SQuAD-2,CoLA,50.0
SQuAD-2,SST-2,50.1
SQuAD-2,MRPC,50.0
SQuAD-2,STS-B,50.1
SQuAD-2,QQP,50.0
SQuAD-2,MNLI,50.0
SQuAD-2,QNLI,50.1
SQuAD-2,RTE,50.0
SQuAD-2,WNLI,50.1
SQuAD-2,SNLI,50.0
SQuAD-2,SciTail,50.0
NewsQA,Baseline,28.8
NewsQA,CoLA,29.3
NewsQA,SST-2,29.0
NewsQA,MRPC,25.9
NewsQA,STS-B,24.6
NewsQA,QQP,26.9
NewsQA,MNLI,28.2
NewsQA,QNLI,28.4
NewsQA,RTE,28.4
NewsQA,WNLI,26.0
NewsQA,SNLI,29.2
NewsQA,SciTail,29.8
HotpotQA,Baseline,23.3
HotpotQA,CoLA,23.8
HotpotQA,SST-2,23.4
HotpotQA,MRPC,21.2
HotpotQA,STS-B,21.5
HotpotQA,QQP,22.4
HotpotQA,MNLI,22.4
HotpotQA,QNLI,22.0
HotpotQA,RTE,22.7
HotpotQA,WNLI,21.6
HotpotQA,SNLI,23.4
HotpotQA,SciTail,22.8
BoolQ,Baseline,62.2
BoolQ,CoLA,62.2
BoolQ,SST-2,62.2
BoolQ,MRPC,62.2
BoolQ,STS-B,62.2
BoolQ,QQP,62.2
BoolQ,MNLI,62.2
BoolQ,QNLI,62.2
BoolQ,RTE,62.2
BoolQ,WNLI,62.2
BoolQ,SNLI,62.2
BoolQ,SciTail,62.2
DROP,Baseline,19.4
DROP,CoLA,17.0
DROP,SST-2,22.4
DROP,MRPC,18.8
DROP,STS-B,26.8
DROP,QQP,19.2
DROP,MNLI,16.9
DROP,QNLI,29.5
DROP,RTE,18.4
DROP,WNLI,23.8
DROP,SNLI,16.6
DROP,SciTail,19.6
WikiHop,Baseline,25.5
WikiHop,CoLA,25.0
WikiHop,SST-2,25.5
WikiHop,MRPC,25.3
WikiHop,STS-B,24.0
WikiHop,QQP,24.4
WikiHop,MNLI,25.0
WikiHop,QNLI,24.9
WikiHop,RTE,25.1
WikiHop,WNLI,25.4
WikiHop,SNLI,25.6
WikiHop,SciTail,24.6
DuoRC-p,Baseline,41.6
DuoRC-p,CoLA,41.8
DuoRC-p,SST-2,41.5
DuoRC-p,MRPC,41.2
DuoRC-p,STS-B,41.2
DuoRC-p,QQP,41.4
DuoRC-p,MNLI,41.6
DuoRC-p,QNLI,41.5
DuoRC-p,RTE,41.5
DuoRC-p,WNLI,41.2
DuoRC-p,SNLI,41.8
DuoRC-p,SciTail,41.8
DuoRC-s,Baseline,38.9
DuoRC-s,CoLA,40.1
DuoRC-s,SST-2,39.3
DuoRC-s,MRPC,36.7
DuoRC-s,STS-B,36.7
DuoRC-s,QQP,37.3
DuoRC-s,MNLI,39.4
DuoRC-s,QNLI,37.7
DuoRC-s,RTE,39.4
DuoRC-s,WNLI,37.1
DuoRC-s,SNLI,38.7
DuoRC-s,SciTail,39.8
CQ,Baseline,30.7
CQ,CoLA,31.2
CQ,SST-2,30.9
CQ,MRPC,31.4
CQ,STS-B,31.5
CQ,QQP,31.5
CQ,MNLI,30.7
CQ,QNLI,30.3
CQ,RTE,30.8
CQ,WNLI,31.9
CQ,SNLI,30.7
CQ,SciTail,31.2
ComQA,Baseline,39.1
ComQA,CoLA,39.3
ComQA,SST-2,39.4
ComQA,MRPC,38.7
ComQA,STS-B,38.5
ComQA,QQP,38.7
ComQA,MNLI,38.7
ComQA,QNLI,38.7
ComQA,RTE,38.7
ComQA,WNLI,38.9
ComQA,SNLI,39.0
ComQA,SciTail,38.8
