sourceTask,destinationTask,value
FullFrozenT1,SQuAD-1,10.6
FullFrozenT1,SQuAD-2,49.8
FullFrozenT1,NewsQA,9.4
FullFrozenT1,HotpotQA,5.9
FullFrozenT1,BoolQ,62.1
FullFrozenT1,DROP,42.9
FullFrozenT1,WikiHop,10.1
FullFrozenT1,DuoRC-p,42.1
FullFrozenT1,DuoRC-s,4.6
FullFrozenT1,CQ,15.4
FullFrozenT1,ComQA,20.5
FullFrozenT2,SQuAD-1,12.1
FullFrozenT2,SQuAD-2,49.8
FullFrozenT2,NewsQA,10.4
FullFrozenT2,HotpotQA,6.8
FullFrozenT2,BoolQ,62.2
FullFrozenT2,DROP,51.7
FullFrozenT2,WikiHop,11.4
FullFrozenT2,DuoRC-p,42.1
FullFrozenT2,DuoRC-s,5.6
FullFrozenT2,CQ,15.4
FullFrozenT2,ComQA,20.5
FullFrozenT3,SQuAD-1,13.0
FullFrozenT3,SQuAD-2,49.8
FullFrozenT3,NewsQA,10.6
FullFrozenT3,HotpotQA,7.0
FullFrozenT3,BoolQ,62.2
FullFrozenT3,DROP,54.1
FullFrozenT3,WikiHop,11.6
FullFrozenT3,DuoRC-p,42.1
FullFrozenT3,DuoRC-s,5.8
FullFrozenT3,CQ,15.9
FullFrozenT3,ComQA,20.5
FullUnfrozenT1,SQuAD-1,86.8
FullUnfrozenT1,SQuAD-2,68.4
FullUnfrozenT1,NewsQA,64.7
FullUnfrozenT1,HotpotQA,66.1
FullUnfrozenT1,BoolQ,62.2
FullUnfrozenT1,DROP,22.4
FullUnfrozenT1,WikiHop,60.0
FullUnfrozenT1,DuoRC-p,50.3
FullUnfrozenT1,DuoRC-s,66.2
FullUnfrozenT1,CQ,26.3
FullUnfrozenT1,ComQA,53.3
FullUnfrozenT2,SQuAD-1,87.7
FullUnfrozenT2,SQuAD-2,70.4
FullUnfrozenT2,NewsQA,64.9
FullUnfrozenT2,HotpotQA,68.2
FullUnfrozenT2,BoolQ,66.4
FullUnfrozenT2,DROP,21.5
FullUnfrozenT2,WikiHop,62.3
FullUnfrozenT2,DuoRC-p,50.3
FullUnfrozenT2,DuoRC-s,64.4
FullUnfrozenT2,CQ,25.0
FullUnfrozenT2,ComQA,61.6
FullUnfrozenT3,SQuAD-1,87.9
FullUnfrozenT3,SQuAD-2,71.9
FullUnfrozenT3,NewsQA,64.1
FullUnfrozenT3,HotpotQA,67.9
FullUnfrozenT3,BoolQ,65.7
FullUnfrozenT3,DROP,22.4
FullUnfrozenT3,WikiHop,62.8
FullUnfrozenT3,DuoRC-p,50.6
FullUnfrozenT3,DuoRC-s,63.3
FullUnfrozenT3,CQ,30.5
FullUnfrozenT3,ComQA,63.2
LimitedUnfrozenT1,SQuAD-1,12.5
LimitedUnfrozenT1,SQuAD-2,50.0
LimitedUnfrozenT1,NewsQA,15.6
LimitedUnfrozenT1,HotpotQA,12.8
LimitedUnfrozenT1,BoolQ,62.2
LimitedUnfrozenT1,DROP,6.8
LimitedUnfrozenT1,WikiHop,18.3
LimitedUnfrozenT1,DuoRC-p,42.1
LimitedUnfrozenT1,DuoRC-s,22.2
LimitedUnfrozenT1,CQ,28.0
LimitedUnfrozenT1,ComQA,33.0
LimitedUnfrozenT2,SQuAD-1,20.8
LimitedUnfrozenT2,SQuAD-2,50.0
LimitedUnfrozenT2,NewsQA,26.5
LimitedUnfrozenT2,HotpotQA,21.6
LimitedUnfrozenT2,BoolQ,62.2
LimitedUnfrozenT2,DROP,13.5
LimitedUnfrozenT2,WikiHop,24.8
LimitedUnfrozenT2,DuoRC-p,42.2
LimitedUnfrozenT2,DuoRC-s,37.5
LimitedUnfrozenT2,CQ,29.6
LimitedUnfrozenT2,ComQA,36.0
LimitedUnfrozenT3,SQuAD-1,26.8
LimitedUnfrozenT3,SQuAD-2,50.1
LimitedUnfrozenT3,NewsQA,28.8
LimitedUnfrozenT3,HotpotQA,23.3
LimitedUnfrozenT3,BoolQ,62.2
LimitedUnfrozenT3,DROP,19.4
LimitedUnfrozenT3,WikiHop,25.5
LimitedUnfrozenT3,DuoRC-p,41.6
LimitedUnfrozenT3,DuoRC-s,38.9
LimitedUnfrozenT3,CQ,30.7
LimitedUnfrozenT3,ComQA,39.1
