sourceTask,destinationTask,value
FullFrozenT1,CoLA,0.0
FullFrozenT1,SST-2,51.0
FullFrozenT1,MRPC,81.2
FullFrozenT1,STS-B,68.0
FullFrozenT1,QQP,0.2
FullFrozenT1,MNLI,40.9
FullFrozenT1,QNLI,65.9
FullFrozenT1,RTE,53.8
FullFrozenT1,WNLI,56.3
FullFrozenT1,SNLI,42.2
FullFrozenT1,SciTail,49.6
FullFrozenT2,CoLA,0.0
FullFrozenT2,SST-2,51.5
FullFrozenT2,MRPC,81.2
FullFrozenT2,STS-B,68.3
FullFrozenT2,QQP,13.9
FullFrozenT2,MNLI,40.2
FullFrozenT2,QNLI,66.0
FullFrozenT2,RTE,53.1
FullFrozenT2,WNLI,56.3
FullFrozenT2,SNLI,43.4
FullFrozenT2,SciTail,49.6
FullFrozenT3,CoLA,0.0
FullFrozenT3,SST-2,51.9
FullFrozenT3,MRPC,81.2
FullFrozenT3,STS-B,68.4
FullFrozenT3,QQP,16.9
FullFrozenT3,MNLI,40.8
FullFrozenT3,QNLI,66.0
FullFrozenT3,RTE,51.3
FullFrozenT3,WNLI,56.3
FullFrozenT3,SNLI,44.9
FullFrozenT3,SciTail,49.6
FullUnfrozenT1,CoLA,48.1
FullUnfrozenT1,SST-2,91.4
FullUnfrozenT1,MRPC,81.2
FullUnfrozenT1,STS-B,76.7
FullUnfrozenT1,QQP,86.0
FullUnfrozenT1,MNLI,83.1
FullUnfrozenT1,QNLI,90.3
FullUnfrozenT1,RTE,56.0
FullUnfrozenT1,WNLI,52.1
FullUnfrozenT1,SNLI,90.3
FullUnfrozenT1,SciTail,92.3
FullUnfrozenT2,CoLA,51.3
FullUnfrozenT2,SST-2,92.1
FullUnfrozenT2,MRPC,82.4
FullUnfrozenT2,STS-B,85.4
FullUnfrozenT2,QQP,87.0
FullUnfrozenT2,MNLI,84.3
FullUnfrozenT2,QNLI,91.3
FullUnfrozenT2,RTE,58.1
FullUnfrozenT2,WNLI,46.5
FullUnfrozenT2,SNLI,90.8
FullUnfrozenT2,SciTail,93.7
FullUnfrozenT3,CoLA,51.0
FullUnfrozenT3,SST-2,91.9
FullUnfrozenT3,MRPC,84.0
FullUnfrozenT3,STS-B,85.9
FullUnfrozenT3,QQP,87.3
FullUnfrozenT3,MNLI,84.2
FullUnfrozenT3,QNLI,91.4
FullUnfrozenT3,RTE,60.6
FullUnfrozenT3,WNLI,45.1
FullUnfrozenT3,SNLI,90.7
FullUnfrozenT3,SciTail,93.9
LimitedUnfrozenT1,CoLA,1.0
LimitedUnfrozenT1,SST-2,61.5
LimitedUnfrozenT1,MRPC,70.4
LimitedUnfrozenT1,STS-B,3.6
LimitedUnfrozenT1,QQP,9.5
LimitedUnfrozenT1,MNLI,33.7
LimitedUnfrozenT1,QNLI,58.0
LimitedUnfrozenT1,RTE,50.7
LimitedUnfrozenT1,WNLI,47.9
LimitedUnfrozenT1,SNLI,40.2
LimitedUnfrozenT1,SciTail,52.5
LimitedUnfrozenT2,CoLA,4.0
LimitedUnfrozenT2,SST-2,74.3
LimitedUnfrozenT2,MRPC,81.8
LimitedUnfrozenT2,STS-B,22.8
LimitedUnfrozenT2,QQP,12.1
LimitedUnfrozenT2,MNLI,37.5
LimitedUnfrozenT2,QNLI,61.0
LimitedUnfrozenT2,RTE,54.6
LimitedUnfrozenT2,WNLI,45.6
LimitedUnfrozenT2,SNLI,45.1
LimitedUnfrozenT2,SciTail,60.1
LimitedUnfrozenT3,CoLA,4.7
LimitedUnfrozenT3,SST-2,77.5
LimitedUnfrozenT3,MRPC,81.9
LimitedUnfrozenT3,STS-B,29.9
LimitedUnfrozenT3,QQP,25.7
LimitedUnfrozenT3,MNLI,38.7
LimitedUnfrozenT3,QNLI,62.4
LimitedUnfrozenT3,RTE,54.7
LimitedUnfrozenT3,WNLI,44.4
LimitedUnfrozenT3,SNLI,46.7
LimitedUnfrozenT3,SciTail,64.1
