sourceTask,destinationTask,value
CoLA,CoLA,51.0
CoLA,SST-2,54.2
CoLA,MRPC,51.0
CoLA,STS-B,48.8
CoLA,QQP,49.4
CoLA,MNLI,50.0
CoLA,QNLI,49.9
CoLA,RTE,52.1
CoLA,WNLI,54.5
CoLA,SNLI,54.2
CoLA,SciTail,50.8
SST-2,CoLA,92.2
SST-2,SST-2,91.9
SST-2,MRPC,92.3
SST-2,STS-B,91.9
SST-2,QQP,92.0
SST-2,MNLI,93.5
SST-2,QNLI,92.5
SST-2,RTE,92.1
SST-2,WNLI,91.7
SST-2,SNLI,93.1
SST-2,SciTail,91.9
MRPC,CoLA,86.6
MRPC,SST-2,84.2
MRPC,MRPC,84.0
MRPC,STS-B,87.3
MRPC,QQP,87.7
MRPC,MNLI,87.6
MRPC,QNLI,86.6
MRPC,RTE,83.9
MRPC,WNLI,84.2
MRPC,SNLI,86.8
MRPC,SciTail,82.2
STS-B,CoLA,86.4
STS-B,SST-2,86.9
STS-B,MRPC,87.1
STS-B,STS-B,85.9
STS-B,QQP,88.5
STS-B,MNLI,87.0
STS-B,QNLI,88.6
STS-B,RTE,87.0
STS-B,WNLI,84.8
STS-B,SNLI,87.5
STS-B,SciTail,88.1
QQP,CoLA,87.5
QQP,SST-2,87.0
QQP,MRPC,87.1
QQP,STS-B,86.4
QQP,QQP,87.3
QQP,MNLI,87.1
QQP,QNLI,86.6
QQP,RTE,86.8
QQP,WNLI,87.0
QQP,SNLI,86.9
QQP,SciTail,86.6
MNLI,CoLA,84.2
MNLI,SST-2,84.1
MNLI,MRPC,84.4
MNLI,STS-B,84.0
MNLI,QQP,84.2
MNLI,MNLI,84.2
MNLI,QNLI,84.4
MNLI,RTE,84.4
MNLI,WNLI,84.2
MNLI,SNLI,84.6
MNLI,SciTail,84.3
QNLI,CoLA,91.4
QNLI,SST-2,91.3
QNLI,MRPC,91.3
QNLI,STS-B,90.4
QNLI,QQP,90.7
QNLI,MNLI,91.5
QNLI,QNLI,91.4
QNLI,RTE,91.3
QNLI,WNLI,91.4
QNLI,SNLI,90.4
QNLI,SciTail,91.0
RTE,CoLA,60.3
RTE,SST-2,56.0
RTE,MRPC,61.7
RTE,STS-B,65.0
RTE,QQP,61.7
RTE,MNLI,77.6
RTE,QNLI,70.4
RTE,RTE,60.6
RTE,WNLI,60.6
RTE,SNLI,77.6
RTE,SciTail,69.3
WNLI,CoLA,54.9
WNLI,SST-2,53.5
WNLI,MRPC,47.9
WNLI,STS-B,35.2
WNLI,QQP,36.6
WNLI,MNLI,40.8
WNLI,QNLI,38.0
WNLI,RTE,50.7
WNLI,WNLI,45.1
WNLI,SNLI,39.4
WNLI,SciTail,46.5
SNLI,CoLA,90.5
SNLI,SST-2,90.9
SNLI,MRPC,90.9
SNLI,STS-B,90.9
SNLI,QQP,90.9
SNLI,MNLI,91.2
SNLI,QNLI,91.1
SNLI,RTE,91.0
SNLI,WNLI,90.9
SNLI,SNLI,90.7
SNLI,SciTail,91.0
SciTail,CoLA,93.8
SciTail,SST-2,93.5
SciTail,MRPC,93.5
SciTail,STS-B,92.1
SciTail,QQP,92.9
SciTail,MNLI,95.6
SciTail,QNLI,94.5
SciTail,RTE,93.5
SciTail,WNLI,93.6
SciTail,SNLI,95.2
SciTail,SciTail,93.9
