sourceTask,destinationTask,value
SQuAD-1,Baseline,87.9
SQuAD-1,CoLA,87.8
SQuAD-1,SST-2,87.7
SQuAD-1,MRPC,87.8
SQuAD-1,STS-B,87.9
SQuAD-1,QQP,87.9
SQuAD-1,MNLI,87.4
SQuAD-1,QNLI,88.2
SQuAD-1,RTE,87.9
SQuAD-1,WNLI,87.9
SQuAD-1,SNLI,88.0
SQuAD-1,SciTail,87.9
SQuAD-2,Baseline,71.9
SQuAD-2,CoLA,70.1
SQuAD-2,SST-2,71.3
SQuAD-2,MRPC,67.7
SQuAD-2,STS-B,70.1
SQuAD-2,QQP,71.5
SQuAD-2,MNLI,72.8
SQuAD-2,QNLI,73.4
SQuAD-2,RTE,71.4
SQuAD-2,WNLI,70.3
SQuAD-2,SNLI,74.3
SQuAD-2,SciTail,71.3
NewsQA,Baseline,64.1
NewsQA,CoLA,64.6
NewsQA,SST-2,64.9
NewsQA,MRPC,63.8
NewsQA,STS-B,64.0
NewsQA,QQP,64.0
NewsQA,MNLI,64.9
NewsQA,QNLI,64.7
NewsQA,RTE,64.0
NewsQA,WNLI,64.3
NewsQA,SNLI,65.1
NewsQA,SciTail,64.5
HotpotQA,Baseline,67.9
HotpotQA,CoLA,68.2
HotpotQA,SST-2,68.3
HotpotQA,MRPC,66.4
HotpotQA,STS-B,66.2
HotpotQA,QQP,68.8
HotpotQA,MNLI,68.7
HotpotQA,QNLI,69.0
HotpotQA,RTE,68.1
HotpotQA,WNLI,67.9
HotpotQA,SNLI,68.7
HotpotQA,SciTail,69.4
BoolQ,Baseline,65.7
BoolQ,CoLA,64.9
BoolQ,SST-2,68.0
BoolQ,MRPC,66.4
BoolQ,STS-B,64.9
BoolQ,QQP,64.9
BoolQ,MNLI,69.8
BoolQ,QNLI,66.9
BoolQ,RTE,64.2
BoolQ,WNLI,65.3
BoolQ,SNLI,68.2
BoolQ,SciTail,68.3
DROP,Baseline,22.4
DROP,CoLA,22.3
DROP,SST-2,22.2
DROP,MRPC,22.4
DROP,STS-B,22.1
DROP,QQP,22.1
DROP,MNLI,22.7
DROP,QNLI,22.5
DROP,RTE,22.8
DROP,WNLI,22.3
DROP,SNLI,22.4
DROP,SciTail,22.7
WikiHop,Baseline,62.8
WikiHop,CoLA,62.9
WikiHop,SST-2,63.1
WikiHop,MRPC,62.5
WikiHop,STS-B,63.4
WikiHop,QQP,63.2
WikiHop,MNLI,63.3
WikiHop,QNLI,63.3
WikiHop,RTE,63.1
WikiHop,WNLI,62.3
WikiHop,SNLI,62.8
WikiHop,SciTail,63.3
DuoRC-p,Baseline,50.6
DuoRC-p,CoLA,51.0
DuoRC-p,SST-2,51.1
DuoRC-p,MRPC,51.0
DuoRC-p,STS-B,51.0
DuoRC-p,QQP,50.5
DuoRC-p,MNLI,50.7
DuoRC-p,QNLI,50.5
DuoRC-p,RTE,50.8
DuoRC-p,WNLI,50.7
DuoRC-p,SNLI,50.9
DuoRC-p,SciTail,51.0
DuoRC-s,Baseline,63.3
DuoRC-s,CoLA,63.8
DuoRC-s,SST-2,63.2
DuoRC-s,MRPC,63.1
DuoRC-s,STS-B,62.4
DuoRC-s,QQP,62.0
DuoRC-s,MNLI,62.6
DuoRC-s,QNLI,62.8
DuoRC-s,RTE,63.7
DuoRC-s,WNLI,63.7
DuoRC-s,SNLI,62.9
DuoRC-s,SciTail,63.0
CQ,Baseline,30.5
CQ,CoLA,30.0
CQ,SST-2,28.1
CQ,MRPC,26.9
CQ,STS-B,29.7
CQ,QQP,33.2
CQ,MNLI,35.5
CQ,QNLI,33.6
CQ,RTE,31.7
CQ,WNLI,32.5
CQ,SNLI,28.8
CQ,SciTail,33.0
ComQA,Baseline,63.2
ComQA,CoLA,62.7
ComQA,SST-2,62.2
ComQA,MRPC,62.5
ComQA,STS-B,62.9
ComQA,QQP,61.4
ComQA,MNLI,61.6
ComQA,QNLI,62.0
ComQA,RTE,62.6
ComQA,WNLI,61.9
ComQA,SNLI,62.1
ComQA,SciTail,61.6
