sourceTask,destinationTask,value
CoLA,Baseline,4.7
CoLA,SQuAD-1,8.6
CoLA,SQuAD-2,7.5
CoLA,NewsQA,3.3
CoLA,HotpotQA,5.8
CoLA,BoolQ,5.3
CoLA,DROP,4.5
CoLA,WikiHop,4.4
CoLA,DuoRC-p,3.6
CoLA,DuoRC-s,3.0
CoLA,CQ,2.7
CoLA,ComQA,3.1
SST-2,Baseline,77.5
SST-2,SQuAD-1,74.7
SST-2,SQuAD-2,77.3
SST-2,NewsQA,76.6
SST-2,HotpotQA,77.8
SST-2,BoolQ,77.2
SST-2,DROP,78.1
SST-2,WikiHop,78.5
SST-2,DuoRC-p,77.0
SST-2,DuoRC-s,75.8
SST-2,CQ,67.8
SST-2,ComQA,76.2
MRPC,Baseline,81.9
MRPC,SQuAD-1,81.8
MRPC,SQuAD-2,81.8
MRPC,NewsQA,82.0
MRPC,HotpotQA,81.8
MRPC,BoolQ,81.8
MRPC,DROP,82.1
MRPC,WikiHop,81.9
MRPC,DuoRC-p,81.7
MRPC,DuoRC-s,81.9
MRPC,CQ,82.0
MRPC,ComQA,81.8
STS-B,Baseline,29.9
STS-B,SQuAD-1,54.3
STS-B,SQuAD-2,51.4
STS-B,NewsQA,59.4
STS-B,HotpotQA,63.2
STS-B,BoolQ,40.6
STS-B,DROP,41.5
STS-B,WikiHop,46.9
STS-B,DuoRC-p,39.6
STS-B,DuoRC-s,49.5
STS-B,CQ,60.0
STS-B,ComQA,67.7
QQP,Baseline,25.7
QQP,SQuAD-1,38.5
QQP,SQuAD-2,38.4
QQP,NewsQA,45.7
QQP,HotpotQA,42.6
QQP,BoolQ,42.2
QQP,DROP,35.0
QQP,WikiHop,37.5
QQP,DuoRC-p,27.8
QQP,DuoRC-s,29.8
QQP,CQ,50.0
QQP,ComQA,54.0
MNLI,Baseline,38.7
MNLI,SQuAD-1,39.9
MNLI,SQuAD-2,41.8
MNLI,NewsQA,42.3
MNLI,HotpotQA,42.2
MNLI,BoolQ,39.9
MNLI,DROP,39.4
MNLI,WikiHop,40.9
MNLI,DuoRC-p,39.6
MNLI,DuoRC-s,40.1
MNLI,CQ,44.3
MNLI,ComQA,43.1
QNLI,Baseline,62.4
QNLI,SQuAD-1,73.9
QNLI,SQuAD-2,74.8
QNLI,NewsQA,77.6
QNLI,HotpotQA,72.5
QNLI,BoolQ,68.7
QNLI,DROP,67.4
QNLI,WikiHop,70.2
QNLI,DuoRC-p,69.2
QNLI,DuoRC-s,68.8
QNLI,CQ,71.7
QNLI,ComQA,74.0
RTE,Baseline,54.7
RTE,SQuAD-1,56.2
RTE,SQuAD-2,56.9
RTE,NewsQA,59.0
RTE,HotpotQA,59.4
RTE,BoolQ,56.5
RTE,DROP,55.3
RTE,WikiHop,58.0
RTE,DuoRC-p,56.5
RTE,DuoRC-s,55.9
RTE,CQ,60.3
RTE,ComQA,60.2
WNLI,Baseline,44.4
WNLI,SQuAD-1,45.8
WNLI,SQuAD-2,45.0
WNLI,NewsQA,43.7
WNLI,HotpotQA,44.3
WNLI,BoolQ,44.7
WNLI,DROP,41.3
WNLI,WikiHop,43.5
WNLI,DuoRC-p,46.4
WNLI,DuoRC-s,46.6
WNLI,CQ,41.2
WNLI,ComQA,38.5
SNLI,Baseline,46.7
SNLI,SQuAD-1,48.4
SNLI,SQuAD-2,49.3
SNLI,NewsQA,49.9
SNLI,HotpotQA,50.9
SNLI,BoolQ,47.3
SNLI,DROP,48.0
SNLI,WikiHop,50.0
SNLI,DuoRC-p,47.9
SNLI,DuoRC-s,48.0
SNLI,CQ,51.0
SNLI,ComQA,51.4
SciTail,Baseline,64.1
SciTail,SQuAD-1,70.4
SciTail,SQuAD-2,71.4
SciTail,NewsQA,77.3
SciTail,HotpotQA,75.8
SciTail,BoolQ,69.1
SciTail,DROP,67.5
SciTail,WikiHop,75.5
SciTail,DuoRC-p,66.7
SciTail,DuoRC-s,64.6
SciTail,CQ,75.8
SciTail,ComQA,80.3
