sourceTask,destinationTask,value
CoLA,Baseline,51.0
CoLA,SQuAD-1,52.4
CoLA,SQuAD-2,47.1
CoLA,NewsQA,45.2
CoLA,HotpotQA,43.3
CoLA,BoolQ,51.0
CoLA,DROP,53.4
CoLA,WikiHop,49.2
CoLA,DuoRC-p,42.4
CoLA,DuoRC-s,48.8
CoLA,CQ,52.1
CoLA,ComQA,49.5
SST-2,Baseline,91.9
SST-2,SQuAD-1,92.1
SST-2,SQuAD-2,91.9
SST-2,NewsQA,91.4
SST-2,HotpotQA,92.1
SST-2,BoolQ,92.1
SST-2,DROP,92.3
SST-2,WikiHop,91.9
SST-2,DuoRC-p,92.2
SST-2,DuoRC-s,91.5
SST-2,CQ,91.9
SST-2,ComQA,92.4
MRPC,Baseline,84.0
MRPC,SQuAD-1,87.0
MRPC,SQuAD-2,87.4
MRPC,NewsQA,86.9
MRPC,HotpotQA,88.6
MRPC,BoolQ,86.3
MRPC,DROP,87.0
MRPC,WikiHop,84.6
MRPC,DuoRC-p,86.3
MRPC,DuoRC-s,86.4
MRPC,CQ,85.4
MRPC,ComQA,83.9
STS-B,Baseline,85.9
STS-B,SQuAD-1,88.5
STS-B,SQuAD-2,87.2
STS-B,NewsQA,87.6
STS-B,HotpotQA,86.9
STS-B,BoolQ,85.8
STS-B,DROP,87.9
STS-B,WikiHop,86.8
STS-B,DuoRC-p,87.3
STS-B,DuoRC-s,87.9
STS-B,CQ,86.9
STS-B,ComQA,86.4
QQP,Baseline,87.3
QQP,SQuAD-1,87.0
QQP,SQuAD-2,87.1
QQP,NewsQA,86.9
QQP,HotpotQA,86.8
QQP,BoolQ,87.4
QQP,DROP,87.1
QQP,WikiHop,86.8
QQP,DuoRC-p,86.7
QQP,DuoRC-s,87.1
QQP,CQ,86.9
QQP,ComQA,86.9
MNLI,Baseline,84.2
MNLI,SQuAD-1,83.8
MNLI,SQuAD-2,84.6
MNLI,NewsQA,84.0
MNLI,HotpotQA,83.8
MNLI,BoolQ,83.9
MNLI,DROP,84.3
MNLI,WikiHop,83.7
MNLI,DuoRC-p,83.4
MNLI,DuoRC-s,83.6
MNLI,CQ,84.0
MNLI,ComQA,83.5
QNLI,Baseline,91.4
QNLI,SQuAD-1,91.3
QNLI,SQuAD-2,91.7
QNLI,NewsQA,91.3
QNLI,HotpotQA,91.1
QNLI,BoolQ,90.5
QNLI,DROP,91.1
QNLI,WikiHop,90.7
QNLI,DuoRC-p,90.9
QNLI,DuoRC-s,90.8
QNLI,CQ,90.6
QNLI,ComQA,89.4
RTE,Baseline,60.6
RTE,SQuAD-1,64.6
RTE,SQuAD-2,67.9
RTE,NewsQA,63.2
RTE,HotpotQA,66.1
RTE,BoolQ,59.6
RTE,DROP,70.4
RTE,WikiHop,66.1
RTE,DuoRC-p,62.8
RTE,DuoRC-s,67.1
RTE,CQ,68.2
RTE,ComQA,63.5
WNLI,Baseline,45.1
WNLI,SQuAD-1,39.4
WNLI,SQuAD-2,45.1
WNLI,NewsQA,36.6
WNLI,HotpotQA,39.4
WNLI,BoolQ,32.4
WNLI,DROP,42.3
WNLI,WikiHop,38.0
WNLI,DuoRC-p,36.6
WNLI,DuoRC-s,42.3
WNLI,CQ,45.1
WNLI,ComQA,33.8
SNLI,Baseline,90.7
SNLI,SQuAD-1,90.7
SNLI,SQuAD-2,90.9
SNLI,NewsQA,90.4
SNLI,HotpotQA,90.8
SNLI,BoolQ,90.7
SNLI,DROP,90.7
SNLI,WikiHop,90.7
SNLI,DuoRC-p,90.5
SNLI,DuoRC-s,90.6
SNLI,CQ,90.8
SNLI,ComQA,90.6
SciTail,Baseline,93.9
SciTail,SQuAD-1,94.4
SciTail,SQuAD-2,94.7
SciTail,NewsQA,93.9
SciTail,HotpotQA,94.2
SciTail,BoolQ,93.7
SciTail,DROP,94.9
SciTail,WikiHop,93.5
SciTail,DuoRC-p,92.5
SciTail,DuoRC-s,93.9
SciTail,CQ,93.6
SciTail,ComQA,92.6
